,Rooms,Bathroom,Landsize,Lattitude,Longtitude,Train_Price,Predicted_Price
112,3,2.0,325.0,-37.8413,144.95,3755000.0,3755000.0
113,4,2.0,183.0,-37.8434,144.9495,2140000.0,2140000.0
114,2,1.0,162.0,-37.8416,144.9488,1750000.0,1750000.0
115,2,1.0,79.0,-37.8387,144.9519,980000.0,980000.0
116,3,2.0,152.0,-37.8488,144.9551,2030000.0,2030000.0
117,3,2.0,147.0,-37.8448,144.9453,1740000.0,1740000.0
118,3,3.0,0.0,-37.8399,144.9577,2800000.0,2800000.0
119,1,1.0,81.0,-37.8411,144.9497,985000.0,985000.0
120,4,2.0,853.0,-37.7707,145.0318,2000000.0,2000000.0
121,3,2.0,208.0,-37.7854,145.0325,1110000.0,1110000.0
122,3,2.0,411.0,-37.7713,145.0279,1492000.0,1492000.0
123,4,2.0,599.0,-37.7717,145.031,1717500.0,1717500.0
124,5,4.0,809.0,-37.775,145.0268,2840000.0,2840000.0
125,2,1.0,88.0,-37.7791,145.0306,525500.0,525500.0
126,2,2.0,155.0,-37.7804,145.0308,805000.0,805000.0
127,2,1.0,0.0,-37.7773,145.0314,427500.0,465000.0
128,3,3.0,686.0,-37.78,145.0341,2000000.0,2000000.0
129,3,1.0,592.0,-37.7755,145.0288,1540000.0,1540000.0
130,2,1.0,183.0,-37.7747,145.0264,820000.0,820000.0
131,4,2.0,606.0,-37.7743,145.0316,1830000.0,1830000.0
132,4,2.0,575.0,-37.7723,145.0319,2100000.0,2100000.0
133,3,1.0,180.0,-37.7802,145.0243,865000.0,865000.0
134,2,1.0,0.0,-37.7773,145.0314,427500.0,390000.0
135,2,1.0,0.0,-37.7848,145.025,650000.0,650000.0
136,2,1.0,0.0,-37.7805,145.0262,512000.0,512000.0
137,3,1.0,979.0,-37.7792,145.029,1165000.0,1165000.0
138,4,2.0,556.0,-37.7844,145.0225,1900000.0,1900000.0
139,3,0.0,597.0,-37.7781,145.0284,1485000.0,1485000.0
140,4,2.0,589.0,-37.7719,145.0309,1950000.0,1950000.0
141,3,2.0,352.0,-37.87,144.825,520000.0,520000.0
142,5,3.0,729.0,-37.8721,144.8105,1525000.0,1525000.0
143,2,1.0,292.0,-37.8687,144.8197,720000.0,720000.0
144,3,1.0,506.0,-37.8693,144.8375,1120000.0,1120000.0
145,4,1.0,655.0,-37.868,144.8154,780000.0,780000.0
146,4,3.0,1057.0,-37.8681,144.819,1780000.0,1780000.0
147,3,1.0,311.0,-37.8702,144.8143,630000.0,630000.0
148,2,1.0,65.0,-37.8693,144.8171,406000.0,406000.0
149,3,1.0,602.0,-37.8616,144.8116,660000.0,660000.0
150,3,1.0,530.0,-37.8594,144.817,683500.0,683500.0
151,2,1.0,225.0,-37.8696,144.827,580000.0,580000.0
152,3,1.0,777.0,-37.8697,144.8249,1335000.0,1335000.0
153,3,2.0,280.0,-37.8734,144.8143,800000.0,800000.0
154,2,1.0,127.0,-37.8686,144.8182,510000.0,510000.0
155,4,2.0,695.0,-37.8733,144.8147,1070000.0,1070000.0
156,2,1.0,115.0,-37.871,144.8185,425000.0,425000.0
157,3,2.0,230.0,-37.8646,144.827,605000.0,605000.0
158,3,2.0,197.0,-37.8579,144.8181,705000.0,705000.0
159,2,1.0,0.0,-37.8678,144.8384,391000.0,391000.0
160,2,1.0,0.0,-37.8659,144.83100000000005,440000.0,440000.0
161,4,1.0,745.0,-37.8658,144.8155,845000.0,845000.0
162,3,2.0,211.0,-37.8698,144.816,743000.0,743000.0
163,3,2.0,69.0,-37.868,144.8286,730000.0,730000.0
164,3,1.0,625.0,-37.8611,144.8114,635000.0,635000.0
165,2,1.0,168.0,-37.8676,144.8202,620000.0,620000.0
166,2,1.0,137.0,-37.8655,144.8299,447000.0,447000.0
167,3,2.0,70.0,-37.868,144.8287,730000.0,730000.0
168,3,1.0,606.0,-37.8608,144.8124,678000.0,678000.0
169,2,2.0,175.0,-37.8687,144.8268,580000.0,580000.0
170,3,1.0,363.0,-37.8674,144.8375,712000.0,712000.0
171,3,2.0,534.0,-37.86,144.8245,840000.0,840000.0
172,3,1.0,724.0,-37.8672,144.817,980000.0,980000.0
173,3,2.0,265.0,-37.8583,144.8172,605100.0,605100.0
174,3,3.0,577.0,-37.8699,144.8235,880000.0,880000.0
175,3,2.0,205.0,-37.8684,144.815,577000.0,577000.0
176,4,1.0,797.0,-37.8663,144.8387,1030000.0,1030000.0
177,3,1.0,181.0,-37.8659,144.822,605000.0,605000.0
178,3,2.0,529.0,-37.8612,144.8247,753000.0,753000.0
179,2,2.0,675.0,-37.8653,144.8129,857000.0,857000.0
180,3,1.0,929.0,-37.8651,144.832,1500000.0,1500000.0
181,3,2.0,70.0,-37.868,144.8285,730000.0,730000.0
182,3,1.0,697.0,-37.871,144.8075,900000.0,900000.0
183,3,1.0,604.0,-37.8631,144.8195,740000.0,740000.0
184,4,2.0,532.0,-37.8637,144.8365,931000.0,931000.0
185,2,1.0,154.0,-37.8646,144.8272,535600.0,535600.0
186,5,3.0,592.0,-37.8388,144.8567,1085000.0,1085000.0
187,3,1.0,533.0,-37.8291,144.835,781000.0,781000.0
188,3,1.0,554.0,-37.8449,144.85,725000.0,750000.0
189,2,1.0,77.0,-37.8351,144.8529,421000.0,421000.0
190,3,1.0,655.0,-37.8338,144.8562,1405000.0,1405000.0
191,3,1.0,534.0,-37.8284,144.8355,683000.0,683000.0
192,3,1.0,540.0,-37.8267,144.8368,623000.0,623000.0
193,3,2.0,0.0,-37.8379,144.8583,720000.0,720000.0
194,3,1.0,328.0,-37.838,144.8555,588000.0,588000.0
195,3,1.0,540.0,-37.8294,144.8378,710000.0,710000.0
196,4,1.0,559.0,-37.8448,144.8529,875000.0,875000.0
197,3,1.0,554.0,-37.8449,144.85,725000.0,700000.0
198,2,1.0,252.0,-37.8397,144.8602,640000.0,640000.0
199,4,1.0,558.0,-37.8451,144.8529,650000.0,650000.0
200,3,2.0,171.0,-37.8337,144.8554,675000.0,675000.0
201,3,1.0,585.0,-37.8258,144.8523,708000.0,708000.0
202,4,1.0,851.0,-37.8345,144.8444,965000.0,965000.0
203,3,1.0,551.0,-37.8254,144.8514,680000.0,680000.0
204,3,1.0,602.0,-37.8327,144.8451,770000.0,770000.0
205,3,1.0,740.0,-37.8269,144.8455,923000.0,923000.0
206,4,2.0,315.0,-37.8391,144.8467,693000.0,693000.0
207,3,2.0,276.0,-37.8262,144.8443,620000.0,620000.0
208,3,1.0,531.0,-37.8277,144.8385,728500.0,728500.0
209,3,2.0,590.0,-37.8382,144.8649,931000.0,931000.0
210,3,1.0,715.0,-37.8423,144.8632,988000.0,988000.0
211,3,1.0,561.0,-37.8444,144.8491,590000.0,590000.0
212,2,1.0,691.0,-37.834,144.8553,610000.0,610000.0
213,3,2.0,555.0,-37.8318,144.8388,815000.0,815000.0
214,4,1.0,708.0,-37.833,144.8494,970000.0,970000.0
215,4,1.0,668.0,-37.8262,144.8439,760000.0,760000.0
216,4,3.0,252.0,-37.8393,144.8568,847500.0,847500.0
217,4,1.0,633.0,-37.8375,144.8541,1200000.0,1200000.0
218,3,1.0,557.0,-37.8441,144.8505,700000.0,700000.0
219,3,1.0,536.0,-37.8285,144.8351,625000.0,625000.0
220,2,1.0,153.0,-37.8332,144.8649,292000.0,292000.0
221,2,1.0,0.0,-37.8543,145.0262,599000.0,599000.0
222,2,1.0,861.0,-37.8539,145.0284,550000.0,550000.0
223,3,2.0,0.0,-37.8552,145.016,995000.0,995000.0
224,3,2.0,101.0,-37.854,145.0135,1205000.0,1205000.0
225,3,2.0,296.0,-37.8614,145.0274,1939000.0,1939000.0
226,1,1.0,0.0,-37.853,145.0167,421500.0,421500.0
227,3,1.0,217.0,-37.8592,145.0182,1870000.0,1870000.0
228,2,1.0,0.0,-37.8538,145.0127,678000.0,678000.0
229,3,2.0,0.0,-37.8537,145.0267,1918000.0,1918000.0
230,2,1.0,0.0,-37.8619,145.0257,660000.0,660000.0
231,3,2.0,205.0,-37.8574,145.0281,2050000.0,2050000.0
232,2,1.0,0.0,-37.8552,145.016,700000.0,700000.0
233,2,2.0,0.0,-37.8555,145.0291,3625000.0,3625000.0
234,4,2.0,1581.0,-37.858,145.0111,3000000.0,3000000.0
235,5,2.0,693.0,-37.8638,145.0229,1525000.0,1525000.0
236,3,2.0,2113.0,-37.8543,145.0262,735000.0,735000.0
237,2,1.0,0.0,-37.8528,145.0268,825000.0,825000.0
238,3,2.0,246.0,-37.8566,145.0116,1586000.0,1586000.0
239,2,1.0,0.0,-37.8596,145.0198,632500.0,645000.0
240,1,2.0,144.0,-37.8564,145.0228,1435000.0,1435000.0
241,1,1.0,0.0,-37.8619,145.0185,280000.0,280000.0
242,1,1.0,0.0,-37.8605,145.0185,400000.0,400000.0
243,2,2.0,0.0,-37.8537,145.0267,1780000.0,1780000.0
244,2,1.0,0.0,-37.8574,145.0174,592500.0,592500.0
245,2,1.0,249.0,-37.8543,145.016,1210000.0,1210000.0
246,4,2.0,624.0,-37.8536,145.0173,2801000.0,2801000.0
247,1,1.0,881.0,-37.8614,145.0222,390000.0,390000.0
248,3,2.0,405.0,-37.8545,145.0145,1800000.0,1800000.0
249,4,1.0,495.0,-37.8613,145.0264,2200000.0,2200000.0
250,1,1.0,0.0,-37.8537,145.0114,324000.0,324000.0
251,6,3.0,1491.0,-37.8602,145.013,5525000.0,5525000.0
252,2,1.0,169.0,-37.851,145.0161,1125000.0,1125000.0
253,3,3.0,301.0,-37.8511,145.0167,2250000.0,2250000.0
254,3,2.0,336.0,-37.8558,145.015,2360000.0,2360000.0
255,2,2.0,207.0,-37.8571,145.0224,1900000.0,1900000.0
256,1,1.0,0.0,-37.8531,145.0115,422500.0,440000.0
257,2,1.0,0.0,-37.8646,145.0247,490000.0,490000.0
258,3,2.0,316.0,-37.8521,145.019,2365000.0,2365000.0
259,3,1.0,212.0,-37.8542,145.0149,1300000.0,1300000.0
260,3,2.0,0.0,-37.8597,145.0104,732000.0,732000.0
261,2,1.0,0.0,-37.8573,145.0186,704000.0,704000.0
262,2,1.0,0.0,-37.8596,145.0198,632500.0,620000.0
263,3,1.0,328.0,-37.8559,145.0158,1900000.0,1900000.0
264,1,1.0,0.0,-37.8575,145.0174,315000.0,315000.0
265,1,1.0,0.0,-37.8509,145.0203,450000.0,450000.0
266,2,1.0,2471.0,-37.8573,145.0186,710000.0,710000.0
267,2,1.0,1194.0,-37.8604,145.0147,872000.0,872000.0
268,2,1.0,0.0,-37.8593,145.0156,598000.0,598000.0
269,3,1.0,186.0,-37.8554,145.0173,1285000.0,1285000.0
270,4,3.0,421.0,-37.8593,145.0275,3660000.0,3660000.0
271,2,1.0,0.0,-37.8618,145.0183,520000.0,520000.0
272,4,1.0,709.0,-37.8574,145.016,3625000.0,3625000.0
273,4,3.0,563.0,-37.8582,145.0138,4200000.0,4200000.0
274,3,1.0,103.0,-37.8542,145.0135,1101000.0,1101000.0
275,3,2.0,617.0,-37.8557,145.0264,3512500.0,3512500.0
276,4,3.0,544.0,-37.8611,145.0195,2000000.0,2000000.0
277,3,1.0,0.0,-37.853,145.0264,869000.0,869000.0
278,5,2.0,617.0,-37.8611,145.0271,2810000.0,2810000.0
279,2,1.0,0.0,-37.8573,145.0112,565000.0,565000.0
280,1,1.0,0.0,-37.8549,145.0113,567000.0,567000.0
281,2,0.0,0.0,-37.8568,145.0161,546000.0,546000.0
282,2,1.0,0.0,-37.8503,145.0185,471500.0,471500.0
283,2,1.0,0.0,-37.7756,144.9165,455000.0,455000.0
284,3,1.0,298.0,-37.7777,144.9195,940000.0,940000.0
285,2,1.0,0.0,-37.7761,144.9201,467000.0,467000.0
286,3,2.0,277.0,-37.7777,144.9221,1380000.0,1380000.0
287,2,1.0,423.0,-37.7736,144.9015,490000.0,490000.0
288,4,3.0,478.0,-37.7729,144.9179,1850000.0,1850000.0
289,3,1.0,623.0,-37.7758,144.9089,1284000.0,1284000.0
290,3,2.0,285.0,-37.775,144.9091,971000.0,971000.0
291,2,1.0,214.0,-37.7776,144.9142,710000.0,710000.0
292,6,3.0,1014.0,-37.7721,144.9184,2425000.0,2425000.0
293,2,1.0,226.0,-37.7745,144.9093,750000.0,750000.0
294,2,1.0,269.0,-37.7748,144.929,1053000.0,1053000.0
295,3,1.0,417.0,-37.7756,144.9208,1377000.0,1377000.0
296,3,1.0,350.0,-37.7759,144.91,970000.0,970000.0
297,2,1.0,330.0,-37.773,144.9049,940000.0,940000.0
298,2,1.0,118.0,-37.7807,144.9288,751000.0,751000.0
299,2,1.0,173.0,-37.7731,144.9206,950000.0,950000.0
300,2,1.0,228.0,-37.7718,144.9066,685000.0,685000.0
301,3,1.0,594.0,-37.7819,144.9064,1230000.0,1230000.0
302,2,1.0,0.0,-37.7738,144.9345,636500.0,636500.0
303,3,1.0,317.0,-37.7746,144.9112,910000.0,910000.0
304,2,1.0,226.0,-37.7774,144.9186,770000.0,770000.0
305,3,2.0,229.0,-37.7778,144.9065,960000.0,960000.0
306,4,1.0,300.0,-37.7766,144.9143,890000.0,890000.0
307,2,1.0,170.0,-37.7732,144.9206,965000.0,965000.0
308,3,1.0,487.0,-37.7725,144.9146,1440000.0,1440000.0
309,2,1.0,255.0,-37.7825,144.9208,955000.0,955000.0
310,2,1.0,0.0,-37.7731,144.9074,450000.0,450000.0
311,3,1.0,431.0,-37.781,144.9207,801000.0,801000.0
312,3,2.0,440.0,-37.7746,144.9031,1000000.0,1000000.0
313,3,2.0,532.0,-37.7737,144.904,1435000.0,1435000.0
314,1,1.0,0.0,-37.7723,144.9094,390000.0,390000.0
315,3,2.0,495.0,-37.7821,144.9055,1425000.0,1425000.0
316,4,2.0,683.0,-37.775,144.93200000000004,1340000.0,1340000.0
317,3,1.0,263.0,-37.7753,144.9116,955000.0,955000.0
318,4,2.0,559.0,-37.7791,144.9136,1100000.0,1100000.0
319,3,2.0,308.0,-37.7759,144.9338,1255000.0,1255000.0
320,2,1.0,0.0,-37.773,144.9303,432000.0,432000.0
321,4,3.0,562.0,-37.782,144.903,1640000.0,1640000.0
322,6,2.0,461.0,-37.78,144.9295,1430000.0,1430000.0
323,2,1.0,301.0,-37.7791,144.914,610000.0,610000.0
324,3,3.0,491.0,-37.7727,144.9136,940000.0,940000.0
325,3,1.0,242.0,-37.7765,144.9114,890000.0,890000.0
326,3,2.0,617.0,-37.7742,144.906,1180000.0,1180000.0
327,4,2.0,597.0,-37.7757,144.9088,1480000.0,1480000.0
328,2,1.0,387.0,-37.7734,144.9191,1150000.0,1150000.0
329,3,1.0,575.0,-37.7828,144.9049,1350000.0,1350000.0
330,5,2.0,521.0,-37.7778,144.9261,1905000.0,1905000.0
331,2,2.0,146.0,-37.7713,144.9038,865000.0,865000.0
332,2,2.0,113.0,-37.7712,144.9088,705000.0,705000.0
333,2,1.0,0.0,-37.7733,144.9219,442000.0,442000.0
334,2,2.0,0.0,-37.7786,144.9141,540000.0,540000.0
335,3,1.0,506.0,-37.7779,144.9133,1037500.0,1037500.0
336,3,2.0,318.0,-37.7744,144.9035,1050000.0,1050000.0
337,2,1.0,0.0,-37.7749,144.9137,440000.0,440000.0
338,2,1.0,325.0,-37.7722,144.9117,1010000.0,1010000.0
339,4,2.0,418.0,-37.7766,144.9187,1430000.0,1430000.0
340,2,1.0,0.0,-37.7779,144.9137,570000.0,570000.0
341,2,1.0,0.0,-37.7728,144.9169,690000.0,690000.0
342,3,1.0,414.0,-37.7766,144.9185,1291000.0,1291000.0
343,3,2.0,272.0,-37.7774,144.928,1130000.0,1130000.0
344,3,1.0,296.0,-37.777,144.9176,1135000.0,1135000.0
345,4,2.0,298.0,-37.7778,144.9131,950000.0,950000.0
346,3,2.0,0.0,-37.7722,144.9163,790000.0,790000.0
347,2,1.0,1957.0,-37.7731,144.9074,390000.0,390000.0
348,4,1.0,552.0,-37.7769,144.9138,1345000.0,1345000.0
349,3,2.0,416.0,-37.7727,144.9055,1381500.0,1381500.0
350,3,2.0,285.0,-37.7778,144.9061,940000.0,940000.0
351,3,2.0,314.0,-37.7778,144.9042,995000.0,995000.0
352,3,1.0,536.0,-37.7728,144.9076,1050000.0,1050000.0
353,3,2.0,576.0,-37.7816,144.9217,786000.0,786000.0
354,2,1.0,252.0,-37.7825,144.9206,705000.0,705000.0
355,2,1.0,124.0,-37.7807,144.9285,760000.0,760000.0
356,3,1.0,0.0,-37.7723,144.9094,487500.0,487500.0
357,3,2.0,200.0,-37.7766,144.9277,1000000.0,1000000.0
358,4,2.0,349.0,-37.7775,144.91299999999995,1110000.0,1110000.0
359,4,1.0,664.0,-37.7765,144.9132,1300000.0,1300000.0
360,3,1.0,555.0,-37.7767,144.9125,1060000.0,1060000.0
361,3,2.0,459.0,-37.7767,144.9124,1410000.0,1410000.0
362,3,1.0,278.0,-37.7768,144.9223,1305000.0,1305000.0
363,3,2.0,254.0,-37.7738,144.9215,932500.0,932500.0
364,3,1.0,216.0,-37.7792,144.9297,965000.0,965000.0
365,3,1.0,452.0,-37.7762,144.9174,1215000.0,1215000.0
366,2,1.0,194.0,-37.7772,144.9118,545000.0,545000.0
367,4,2.0,598.0,-37.7774,144.9104,1705000.0,1705000.0
368,3,1.0,194.0,-37.7756,144.921,970000.0,970000.0
369,2,1.0,407.0,-37.7756,144.9105,925000.0,925000.0
370,4,3.0,753.0,-37.8669,145.0767,2650000.0,2650000.0
371,3,2.0,599.0,-37.8673,145.0688,1670000.0,1670000.0
372,3,2.0,203.0,-37.8655,145.0807,955000.0,955000.0
373,3,3.0,310.0,-37.874,145.0714,2050000.0,2050000.0
374,2,1.0,710.0,-37.8636,145.0794,500000.0,500000.0
375,2,1.0,679.0,-37.869,145.0822,1575000.0,1575000.0
376,3,2.0,731.0,-37.8666,145.0676,1555000.0,1555000.0
377,3,3.0,276.0,-37.8699,145.0778,1100000.0,1100000.0
378,3,1.0,583.0,-37.8685,145.0786,1337000.0,1337000.0
379,8,7.0,1472.0,-37.8729,145.0788,2950000.0,2950000.0
380,4,2.0,681.0,-37.8612,145.0858,2215000.0,2215000.0
381,3,2.0,516.0,-37.8675,145.0668,1518000.0,1518000.0
382,3,1.0,806.0,-37.8695,145.084,1710000.0,1710000.0
383,3,1.0,780.0,-37.8599,145.0815,1655000.0,1655000.0
384,4,2.0,780.0,-37.86,145.0817,1550000.0,1550000.0
385,3,2.0,351.0,-37.8742,145.07,1662000.0,1662000.0
386,3,2.0,702.0,-37.8737,145.0695,1665000.0,1665000.0
387,2,1.0,704.0,-37.8745,145.0738,1445000.0,1445000.0
388,5,5.0,755.0,-37.8598,145.0796,3510000.0,3510000.0
389,3,1.0,227.0,-37.8709,145.0857,968000.0,968000.0
390,3,2.0,153.0,-37.8655,145.0808,900000.0,900000.0
391,3,1.0,545.0,-37.8605,145.0833,1500000.0,1500000.0
392,5,4.0,1075.0,-37.8714,145.07299999999995,2752000.0,2752000.0
393,3,2.0,710.0,-37.8653,145.0897,1500000.0,1500000.0
394,4,2.0,749.0,-37.8669,145.077,1800000.0,1800000.0
395,3,2.0,724.0,-37.8619,145.0879,1830000.0,1830000.0
396,3,1.0,605.0,-37.8703,145.0774,1415000.0,1415000.0
397,2,1.0,687.0,-37.872,145.0692,1440000.0,1440000.0
398,4,2.0,321.0,-37.8693,145.08,1250000.0,1250000.0
399,3,1.0,583.0,-37.8679,145.0781,1422000.0,1422000.0
400,5,3.0,700.0,-37.8724,145.0758,1600000.0,1600000.0
401,4,2.0,696.0,-37.8711,145.0746,1860000.0,1860000.0
402,3,2.0,295.0,-37.8624,145.0798,1710000.0,1710000.0
403,4,2.0,514.0,-37.8664,145.0772,1790000.0,1790000.0
404,4,2.0,844.0,-37.8715,145.0688,1950000.0,1950000.0
405,3,1.0,637.0,-37.8645,145.0797,1600000.0,1600000.0
406,3,1.0,1063.0,-37.8752,145.0754,1320000.0,1320000.0
407,3,1.0,697.0,-37.8636,145.0903,1650000.0,1650000.0
408,2,1.0,583.0,-37.8693,145.1082,995000.0,995000.0
409,3,1.0,842.0,-37.867,145.1092,1250000.0,1250000.0
410,3,2.0,467.0,-37.8639,145.0968,1045000.0,1045000.0
